"The number of entries per field is limited to 10 for this overview. If you want the whole information you can use the API or the ""Download selection"" menu on the Webpage."

ID,designation_header,strain_number_header,is_type_strain_header,species,"Metabolite (antibiotic)","Antibiotic sensitivity","Antibiotic resistance"
,,,,,kanamycin,,1
21352,"So ce1142",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21354,"So ce1148",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21357,"So ce1146",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21358,"So ce1147",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21372,"So ce957",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
,,,,,neomycin,,1
21374,"So ce956",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
,,,,,neomycin,,1
21376,"So ce959",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21378,"So ce1183",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21379,"So ce963",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21382,"So ce1184",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21383,"So ce966",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21385,"So ce962",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21387,"So ce1186",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21388,"So ce1189",,0,"Sorangium cellulosum",kanamycin,,1
21389,"So ce1188",,0,"Sorangium cellulosum",kanamycin,,1
21391,"So ce949",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
,,,,,neomycin,,1
21392,"So ce947",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21393,"So ce946",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21394,"So ce945",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21395,"So ce1196",,0,"Sorangium cellulosum",kanamycin,,1
21396,"So ce954",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21397,"So ce1195",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21398,"So ce955",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
,,,,,neomycin,,1
21399,"So ce1194",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21400,"So ce952",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21401,"So ce1193",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21402,"So ce953",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21403,"So ce1192",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21404,"So ce1191",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21405,"So ce951",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21406,"So ce1190",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21410,"So ce935",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21411,"So ce934",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21412,"So ce937",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21413,"So ce936",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21414,"So ce939",,0,"Sorangium cellulosum",kanamycin,,1
21415,"So ce938",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21416,"So ce940",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21418,"So ce943",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
,,,,,neomycin,,1
21419,"So ce944",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21420,"So ce926",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21421,"So ce925",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21422,"So ce924",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21423,"So ce923",,0,"Sorangium cellulosum",kanamycin,,1
21424,"So ce929",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21425,"So ce928",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21426,"So ce927",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21427,"So ce932",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
,,,,,neomycin,,1
21428,"So ce933",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21429,"So ce930",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21439,"So ce989",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21440,"So ce991",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21441,"So ce990",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21442,"So ce999",,0,"Sorangium cellulosum",kanamycin,,1
21443,"So ce998",,0,"Sorangium cellulosum",kanamycin,,1
21444,"So ce997",,0,"Sorangium cellulosum",kanamycin,,1
21445,"So ce996",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21446,"So ce995",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21447,"So ce994",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21448,"So ce993",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21449,"So ce992",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21450,"So ce978",,0,"Sorangium cellulosum",kanamycin,,1
21451,"So ce979",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21453,"So ce980",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21456,"So ce982",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21459,"So ce984",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21460,"So ce983",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21461,"So ce986",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21462,"So ce985",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21463,"So ce988",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21464,"So ce987",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21465,"So ce969",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21466,"So ce967",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21467,"So ce968",,0,"Sorangium cellulosum",kanamycin,,1
21471,"So ce973",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21473,"So ce972",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21475,"So ce971",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21476,"So ce970",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21477,"So ce977",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21478,"So ce976",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21479,"So ce975",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21480,"So ce974",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21529,"So ce1209",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21530,"So ce1207",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21531,"So ce1206",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21533,"So ce1205",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21534,"So ce1214",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21535,"So ce1215",,0,"Sorangium cellulosum",kanamycin,,1
21538,"So ce1213",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21541,"So ce1210",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21548,"So ce1202",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21549,"So ce1204",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21550,"So ce1200",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21555,"So ce1231",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21556,"So ce1230",,0,"Sorangium cellulosum",kanamycin,,1
21559,"So ce1232",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21561,"So ce1235",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21563,"So ce1234",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21565,"So ce1237",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21568,"So ce1227",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21570,"So ce1228",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21573,"So ce1229",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21580,"So ce1222",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21582,"So ce1221",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21584,"So ce1220",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21586,"So ce1226",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21588,"So ce1225",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21590,"So ce1224",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21593,"So ce1218",,0,"Sorangium cellulosum",kanamycin,,1
21594,"So ce1219",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21596,"So ce1216",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21598,"So ce1217",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21602,"So ce1251",,0,"Sorangium cellulosum",kanamycin,,1
21603,"So ce1250",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21605,"So ce1256",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21607,"So ce1259",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21613,"So ce1252",,0,"Sorangium cellulosum",kanamycin,,1
21614,"So ce1255",,0,"Sorangium cellulosum",kanamycin,,1
21616,"So ce1254",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21622,"So ce1249",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21626,"So ce1240",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21627,"So ce1248",,0,"Sorangium cellulosum",kanamycin,,1
21628,"So ce1247",,0,"Sorangium cellulosum",kanamycin,,1
21631,"So ce1245",,0,"Sorangium cellulosum",kanamycin,,1
21635,"So ce1243",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21638,"So ce1241",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21645,"So ce1274",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21646,"So ce1276",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21647,"So ce1277",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21648,"So ce1278",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21649,"So ce1279",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21652,"So ce1270",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21655,"So ce1272",,0,"Sorangium cellulosum",kanamycin,,1
21656,"So ce911",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21658,"So ce910",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21659,"So ce901",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21661,"So ce903",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21662,"So ce904",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21663,"So ce905",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21664,"So ce906",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21665,"So ce907",,0,"Sorangium cellulosum",kanamycin,,1
21666,"So ce908",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21667,"So ce909",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21676,"So ce1266",,0,"Sorangium cellulosum",kanamycin,,1
21677,"So ce1263",,0,"Sorangium cellulosum",kanamycin,,1
21678,"So ce1264",,0,"Sorangium cellulosum",kanamycin,,1
21679,"So ce1269",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21683,"So ce1261",,0,"Sorangium cellulosum",kanamycin,,1
21684,"So ce922",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21685,"So ce1262",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21686,"So ce921",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21687,"So ce920",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21688,"So ce1260",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21689,"So ce914",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21690,"So ce912",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21691,"So ce913",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21692,"So ce918",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21693,"So ce919",,0,"Sorangium cellulosum",kanamycin,,1
21694,"So ce916",,0,"Sorangium cellulosum",kanamycin,,1
21702,"So ce1296",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21703,"So ce1297",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21704,"So ce1298",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21705,"So ce1299",,0,"Sorangium cellulosum",kanamycin,,1
21706,"So ce1292",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21707,"So ce1293",,0,"Sorangium cellulosum",kanamycin,,1
21709,"So ce1295",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21710,"So ce1290",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21711,"So ce1291",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21723,"So ce1287",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21724,"So ce1288",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21725,"So ce1285",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21726,"So ce1286",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21727,"So ce1283",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21728,"So ce900",,0,"Sorangium cellulosum",kanamycin,,1
21729,"So ce1284",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21731,"So ce1282",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
21970,"So ce13",,0,"Sorangium cellulosum",kanamycin,,1
21972,"So ce14",,0,"Sorangium cellulosum",ampicillin,,1
,,,,,kanamycin,,1
21974,"So ce15",,0,"Sorangium cellulosum",ampicillin,,1
,,,,,kanamycin,,1
21975,"So ce16",,0,"Sorangium cellulosum",kanamycin,,1
21976,"So ce11",,0,"Sorangium cellulosum",kanamycin,,1
21992,"So ce18",,0,"Sorangium cellulosum",kanamycin,,1
22087,"So ce54",,0,"Sorangium cellulosum",kanamycin,,1
22127,"So ce78",,0,"Sorangium cellulosum",kanamycin,,1
22216,"So ce1019",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22217,"So ce1023",,0,"Sorangium cellulosum",kanamycin,,1
22218,"So ce1022",,0,"Sorangium cellulosum",kanamycin,,1
22220,"So ce1028",,0,"Sorangium cellulosum",kanamycin,,1
22222,"So ce1027",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22223,"So ce1026",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22224,"So ce1025",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22228,"So ce1029",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22229,"So ce1033",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22230,"So ce1032",,0,"Sorangium cellulosum",kanamycin,,1
22231,"So ce1035",,0,"Sorangium cellulosum",kanamycin,,1
22232,"So ce1037",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22233,"So ce1036",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22234,"So ce1039",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22235,"So ce1038",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22237,"So ce1030",,0,"Sorangium cellulosum",kanamycin,,1
22240,"So ce1049",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22241,"So ce1048",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22242,"So ce1045",,0,"Sorangium cellulosum",kanamycin,,1
22243,"So ce1044",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22246,"So ce1041",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22247,"So ce1040",,0,"Sorangium cellulosum",kanamycin,,1
22248,"So ce1055",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22249,"So ce1054",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22250,"So ce1057",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22251,"So ce1056",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22252,"So ce1051",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22253,"So ce1050",,0,"Sorangium cellulosum",kanamycin,,1
22254,"So ce1053",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22255,"So ce1005",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22256,"So ce1006",,0,"Sorangium cellulosum",kanamycin,,1
22257,"So ce1003",,0,"Sorangium cellulosum",kanamycin,,1
22258,"So ce1001",,0,"Sorangium cellulosum",kanamycin,,1
22259,"So ce1002",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22260,"So ce1000",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22261,"So ce1008",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22262,"So ce1009",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22263,"So ce1014",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22264,"So ce1015",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22265,"So ce1016",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22266,"So ce1017",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22267,"So ce1010",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22268,"So ce1011",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22269,"So ce1013",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22279,"So ce5",,0,"Sorangium cellulosum",kanamycin,,1
22280,"So ce4",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22284,"So ce8",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22285,"So ce7",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
22286,"So ce6",,0,"Sorangium cellulosum",cycloheximide,,1
,,,,,kanamycin,,1
159848,,"DSM 105767, NCCB 100641, Soce 362",1,"Sorangium dawidii",ampicillin,1,
,,,,,bacitracin,,1
,,,,,cephalosporin,1,
,,,,,fusidate,1,
,,,,,gentamicin,,1
,,,,,hygromycin,1,
,,,,,kanamycin,,1
,,,,,oxytetracycline,1,
,,,,,polymyxin,,1
,,,,,spectinomycin,1,
159800,,"DSM 105741, NCCB 100642, ERS2489001, Soce 375",1,"Sorangium kenyense",ampicillin,,1
,,,,,hygromycin,1,
,,,,,oxytetracycline,1,
,,,,,spectinomycin,1,
159801,"Soce GT47","DSM 105742, NCCB 100638, ERS2501484",1,"Sorangium orientale",ampicillin,1,
,,,,,cephalexin,1,
,,,,,hygromycin,1,
,,,,,kanamycin,,1
,,,,,spectinomycin,,1
,,,,,trimethoprim,,1
159802,,"DSM 105769, NCCB 100644, ERS2489003, Soce 1828",1,"Sorangium reichenbachii",ampicillin,,1
,,,,,cephalexin,1,
,,,,,hygromycin,1,
,,,,,kanamycin,,1
,,,,,spectinomycin,1,
,,,,,trimethoprim,,1
158203,"MC 3718","DSM 107189, CCTCCAB 2014274, LMG 28636",1,"Sphingoaurantiacus polygranulatus",carbenicillin,,1
,,,,,cefoperazone,,1
,,,,,cefotaxime,1,
,,,,,ceftazidime,1,
,,,,,chloramphenicol,1,
,,,,,ciprofloxacin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,neomycin,1,
140595,Y3L14,"CGMCC 1.15782, KCTC 52379",1,"Sphingobacterium alkalisoli",amoxicillin,,1
,,,,,ampicillin,1,
,,,,,bacitracin,,1
,,,,,carbenicillin,1,
,,,,,cephradine,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,lincomycin,1,
158691,YK2,"MTCC 12631, KCTC 52685, JCM 31951",1,"Sphingobacterium bovisgrunnientis",amoxicillin,,1
,,,,,bacitracin,,1
,,,,,cefazolin,,1
,,,,,cefprozil,1,
,,,,,ceftazidime,,1
,,,,,chloramphenicol,1,
,,,,,chlortetracyclin,1,
,,,,,kanamycin,,1
,,,,,lincomycin,1,
,,,,,novobiocin,,1
133248,,"DH-5, ACCC 19856, KCTC 42746",1,"Sphingobacterium chuzhouense",amikacin,1,
,,,,,ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,,1
,,,,,gentamicin,,1
,,,,,kanamycin,1,
,,,,,lincomycin,,1
,,,,,"nalidixic acid",1,
,,,,,neomycin,,1
,,,,,novobiocin,1,
140094,"YIM X0211","DSM 101679, CGMCC 1.15966, KCTC 42696",1,"Sphingobacterium soli",chloramphenicol,,1
,,,,,ciprofloxacin,1,
,,,,,erythromycin,,1
,,,,,novobiocin,,1
,,,,,piperacillin,,1
,,,,,"polymyxin b",,1
,,,,,tetracycline,,1
141164,L9-754,"DSM 27347, KACC 17595",1,"Sphingomonas carotinifaciens",ampicillin,1,
,,,,,carbenicillin,,1
,,,,,chloramphenicol,1,
,,,,,hygromycin,,1
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,rifampicin,1,
,,,,,spectinomycin,,1
,,,,,tetracycline,1,
140980,MIMD3,"KCTC 42801, MCCC 1K01310",1,"Sphingomonas crusticola",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefoperazone,1,
,,,,,ceftriaxone,,1
,,,,,cephalexin,1,
,,,,,chloramphenicol,,1
,,,,,ciprofloxacin,1,
,,,,,clindamycin,1,
,,,,,doxycycline,,1
,,,,,erythromycin,1,
141059,E62-3,"KCTC 42834, CCTCC AB 2015300",1,"Sphingomonas faucium",carbenicillin,1,
,,,,,cefoperazone,1,
,,,,,ceftazidime,1,
,,,,,ceftriaxone,1,
,,,,,cefuroxime,1,
,,,,,cephalosporin,1,
,,,,,clindamycin,,1
,,,,,doxycycline,1,
,,,,,erythromycin,1,
,,,,,furazolidone,,1
141165,S5-249,"DSM 27345, KACC 17593",1,"Sphingomonas jatrophae",ampicillin,1,
,,,,,carbenicillin,,1
,,,,,chloramphenicol,1,
,,,,,hygromycin,,1
,,,,,kanamycin,,1
,,,,,"nalidixic acid",1,
,,,,,rifampicin,1,
,,,,,spectinomycin,1,
,,,,,tetracycline,1,
141053,G39,"DSM 103790, LMG 29955T, LMG 29955",1,"Sphingomonas jeddahensis",ampicillin,1,
,,,,,carbenicillin,1,
,,,,,cefalotin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,novobiocin,,1
,,,,,penicillin,1,
,,,,,polymyxin,1,
140978,03SUJ6,"KCTC 23331, JCM 17543",1,"Sphingomonas limnosediminicola",amikacin,1,
,,,,,ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,,1
,,,,,"nalidixic acid",,1
,,,,,penicillin,,1
,,,,,streptomycin,,1
,,,,,tetracycline,1,
,,,,,vancomycin,1,
133230,,"DKC-5-1, KEMB 9005-380, KACC 18716, JCM 31294",1,"Sphingomonas naphthae",ampicillin,,1
,,,,,chloramphenicol,,1
,,,,,cycloheximide,,1
,,,,,gentamicin,1,
,,,,,kanamycin,,1
,,,,,"nalidixic acid",1,
,,,,,neomycin,1,
,,,,,novobiocin,1,
,,,,,penicillin,,1
,,,,,rifampicin,1,
159769,FW-11,"LMG 29274, HAMBI 3659",1,"Sphingomonas oleivorans",ampicillin,,1
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,rifampicin,1,
,,,,,spectinomycin,,1
,,,,,streptomycin,,1
,,,,,tetracycline,1,
140979,WM95,"KACC 18738, JCM 31399",1,"Sphingomonas palustris",amikacin,1,
,,,,,ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,erythromycin,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",,1
,,,,,penicillin,,1
,,,,,streptomycin,,1
,,,,,tetracycline,1,
133291,,"LYH-20, BCRC 80911, LMG 29002, KCTC 42741",1,"Sphingomonas piscinae",ampicillin,1,
,,,,,chloramphenicol,1,
,,,,,gentamicin,1,
,,,,,kanamycin,1,
,,,,,"nalidixic acid",1,
,,,,,novobiocin,1,
,,,,,"penicillin g",1,
,,,,,rifampicin,1,
,,,,,streptomycin,,1
